あお,仰青
あか,明赤
あきな,商
あき,明
あさ,浅
あざむ,欺
あざ,鮮
あじ,味
あず,預
あせ,焦
あそ,遊
あたた,暖温
あたら,新
あた,与辺
あつか,扱
あつ,厚暑熱集
あなど,侮
あば,暴
あぶ,危
あま,余甘
あやつ,操
あやま,誤謝過
あや,危怪
あゆ,歩
あらそ,争
あらた,改
あらわ,現著表
あら,新洗粗荒
ある,歩
あわ,併哀慌淡
あ,上会充合在宛当挙揚明有浴空編荒遭開飽
いか,怒
いきお,勢
いきどお,憤
いこ,憩
いさぎよ,潔
いさ,勇
いそが,忙
いそ,急
いただ,頂
いた,傷悼痛至致
いだ,抱
いちじる,著
いつく,慈
いつわ,偽
いつ,五
いとな,営
いど,挑
いの,祈
いまし,戒
いや,卑
いろど,彩
いわ,祝
い,入射居忌生癒行要言逝鋳
うかが,伺
うけたまわ,承
うご,動
うしな,失
うし,後
うす,薄
うたが,疑
うた,歌謡
うった,訴
うつく,美
うつ,写映移
うと,疎
うなが,促
うば,奪
うやうや,恭
うやま,敬
うらな,占
うらや,羨
うら,恨
うるお,潤
うるわ,麗
うる,潤
うれ,愁憂
う,受埋売得憂打撃植浮熟生産討請飢
えが,描
えら,偉選
え,得獲笑
おお,仰多大覆
おか,侵冒犯
おが,拝
おぎな,補
おく,後贈送遅
おこた,怠
おこな,行
おこ,怒興
おごそ,厳
おさな,幼
おさ,修収抑治納
おし,教
おそ,恐教襲遅
おだ,穏
おちい,陥
おとしい,陥
おとず,訪
おとろ,衰
おと,劣
おどろ,驚
おど,脅踊躍
おな,同
おびや,脅
おぼ,覚
おもむ,赴
おも,思重
およ,及泳
おろ,卸愚
お,下帯惜折押推生終織置老落負起追降
かえり,省顧
かえ,帰返
かお,薫香
かか,係抱掲関
かがや,輝
かぎ,限
かく,隠
かげ,陰
かこ,囲
かさ,重
かざ,飾
かしこ,賢
かせ,稼
かぞ,数
かたむ,傾
かたよ,偏
かたわ,傍
かた,固堅硬語難
かつ,担
かなら,必
かな,奏悲
かま,構醸
かよ,通
から,絡辛
かる,軽
かろ,軽
かわ,乾渇
かんが,考鑑
かんば,芳
か,且交代借兼刈勝変懸掛描換書替枯架欠狩買貸賭飼駆
きざ,兆刻
きず,築
きそ,競
きたな,汚
きた,来鍛
きび,厳
きよ,清
きら,嫌
きわ,極究窮
き,切利効決消着聞聴
くさ,腐臭
くず,崩
くだ,下砕
くつがえ,覆
くば,配
くも,曇
くや,悔
くら,暗比
くる,狂苦
くろ,黒
くわだ,企
くわ,加詳
く,悔暮朽来組繰酌食
けが,汚
けず,削
けむ,煙
けわ,険
け,消
こい,恋
こうむ,被
こお,凍
ここの,九
こころざ,志
こころよ,快
こころ,試
こご,凍
こた,応答
ことわ,断
この,好
こば,拒
こま,困細
ころ,殺転
こわ,壊怖
こ,乞凝恋懲混濃焦肥請超越込
さいわ,幸
さえぎ,遮
さか,栄盛逆
さが,捜探
さぐ,探
さけ,叫
ささ,支
さず,授
さそ,誘
さだ,定
さと,悟諭
さば,裁
さび,寂
さまた,妨
さむ,寒
さわ,触障騒
さ,下冷刺割去咲差指挿提裂覚避
しあわ,幸
しいた,虐
しげ,茂
しず,沈鎮静
したが,従
したた,滴
した,慕親
しの,忍
しば,縛
しぶ,渋
しぼ,搾絞
しめ,湿示
しら,調
しりぞ,退
しる,記
しろ,白
し,占強敷染死知絞締閉
すく,少救
すぐ,優
すこ,健少
すす,勧薦進
すず,涼
すた,廃
すで,既
すべ,全滑
すみ,速
するど,鋭
すわ,座
す,住刷吸好捨据擦済澄統透過酸
せば,狭
せま,狭迫
せ,攻競責
そこ,損
そそのか,唆
そそ,注
そだ,育
そな,供備背
そ,初反染沿添
たい,平
たお,倒
たか,高
たがや,耕
たが,互
たくわ,蓄
たく,巧
たぐ,類
たし,確
たす,助
たずさ,携
たず,尋訪
たたか,戦闘
たた,畳
ただよ,漂
ただ,但正直
たっと,尊貴
たてまつ,奉
たと,例
たの,楽頼
たまわ,賜
ため,試
たも,保
たよ,便頼
たわむ,戯
た,垂堪建断炊矯立絶耐裁足食
だま,黙
だ,出抱
ちい,小
ちか,誓近
ちが,違
ちぎ,契
ちぢ,縮
ち,散
つい,費
つか,仕使捕疲遣
つくろ,繕
つく,作創造
つぐな,償
つたな,拙
つた,伝
つちか,培
つつし,慎謹
つつ,包
つづ,続
つと,努務勤
つど,集
つの,募
つむ,紡
つめ,冷
つよ,強
つらぬ,貫
つら,連
つ,付告就尽接摘次漬着積突継詰連釣
て,照
で,出
